This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Quote on 4/18/18 21:10:10

Watchlist
Symbol,Last,,Quote Trend,Net Chng,Bid,Ask,BS,AS,Volume,Open,High,Low,52High,52Low
DLNG,9.72,Range Bound,"instrument=DLNG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",-.89,9.00,9.72,10,4,"1,137,040",9.34,9.82,9.12,17.93,9.12
DWT,8.34,N/A,"instrument=DWT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",-.94,8.32,8.33,2,4,"16,935,104",8.69,8.81,8.28,44.68,8.28
JNPR,24.38,Range Bound,"instrument=JNPR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",-1.03,23.75,32.00,5,1,"10,875,767",23.89,24.51,23.61,30.96,23.61
LRCX,203.77,Range Bound,"instrument=LRCX
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",-8.56,202.60,202.90,1,1,"9,114,892",200.235,204.56,196.50,234.88,125.74
IBM,148.79,Range Bound,"instrument=IBM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",-12.12,148.80,149.00,1,2,"20,381,695",152.14,152.63,148.26,171.69,139.13
CALA,6.20,Downtrend,"instrument=CALA
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",-.15,6.30,6.50,8,5,"2,596,126",7.00,7.45,6.20,20.05,5.35
TLGT,3.52,Range Bound,"instrument=TLGT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",+.50,3.52,3.58,20,1,"3,326,501",3.39,3.64,3.33,9.54,2.43
SPWR,9.34,Uptrend,"instrument=SPWR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",+.99,9.30,9.31,10,225,"7,641,107",8.81,9.75,8.71,11.70,6.46
CYTR,1.78,Range Bound,"instrument=CYTR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",-.14,1.53,1.79,15,10,"790,607",2.01,2.02,1.71,5.988,1.43
DCAR,2.09,N/A,"instrument=DCAR
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",+.1705,2.12,2.14,4,23,"4,803,659",2.46,2.50,2.05,13.52,1.724
TXT,63.99,Range Bound,"instrument=TXT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",+4.05,63.99,68.00,8,0,"6,805,075",64.23,64.88,63.00,64.88,45.00
TEUM,2.53,N/A,"instrument=TEUM
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",+.06,2.41,2.69,20,10,"2,787,297",2.60,2.7201,2.52,3.59,.5001
UWT,35.53,N/A,"instrument=UWT
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
",+3.36,35.38,36.00,1,8,"4,115,431",34.29,35.74,33.82,35.74,10.01
